選手名,3年後試合,3年後安打,3年後本塁打,3年後打点,3年後打率,3年後出塁率,3年後長打率
岩本　貴裕,71,64,6,27,0.268,0.274,0.406
柴田　講平,73,30,0,2,0.234,0.322,0.273
上本　博紀,62,50,1,7,0.254,0.333,0.345
野原　祐也,3,1,0,0,0.143,0.25,0.143
松本　啓二朗,0,0,0,0,0,0,0
山崎　憲晴,18,5,0,0,0.179,0.207,0.25
大田　泰示,21,16,2,7,0.254,0.329,0.444
福元　淳史,1,0,0,0,-,-,-
野本　圭,49,18,0,5,0.265,0.315,0.309
中村　悠平,91,53,1,15,0.254,0.344,0.292
新田　玄気,8,2,0,2,0.222,0.222,0.222
浅村　栄斗,114,99,7,37,0.245,0.307,0.376
坂田　遼,16,10,0,3,0.227,0.292,0.227
丈武,0,0,0,0,0,0,0
高島　毅,0,0,0,0,0,0,0
フェルナンデス,9,0,61,15,7.11,1.89,
中島　卓也,105,8,0,0,0.114,0.127,0.114
杉谷　拳士,58,27,2,12,0.235,0.28,0.33
大野　奨太,70,24,2,11,0.171,0.227,0.243
岡田　幸文,131,113,0,18,0.262,0.3,0.288
吉田　真史,0,0,0,0,0,0,0
堂林　翔太,105,79,6,41,0.217,0.294,0.305
田上　健一,24,2,0,0,0.286,0.375,0.286
甲斐　雄平,0,0,0,0,0,0,0
藤川　俊介,0,0,0,0,0,0,0
筒香　嘉智,23,11,1,3,0.216,0.286,0.294
市川　友也,1,0,0,0,-,-,-
河野　元貴,11,1,1,3,0.063,0.063,0.25
長野　久義,144,166,19,65,0.281,0.336,0.424
鬼屋敷　正人,1,0,0,0,-,-,-
中田　亮二,23,5,0,0,0.238,0.333,0.286
松井　佑介,43,14,1,11,0.173,0.198,0.247
松井　雅人,45,9,0,3,0.143,0.217,0.175
大島　洋平,140,124,3,27,0.248,0.306,0.311
赤田　龍一郎,1,0,0,0,0,0,0
松井　淳,11,7,0,0,0.233,0.281,0.267
荒木　貴裕,12,11,1,3,0.256,0.256,0.349
麻生　知史,0,0,0,0,0,0,0
曲尾　マイケ,0,0,0,0,0,0,0
今宮　健太,143,124,5,43,0.253,0.312,0.346
石川　貢,16,3,0,1,0.13,0.167,0.13
