西暦,背番号,選手名,2軍打率,2軍試合,2軍打席数,2軍打数,2軍安打,2軍本塁打,2軍打点,2軍盗塁,2軍四球,2軍死球,2軍三振,2軍犠打,2軍併殺打,2軍出塁率,2軍長打率,2軍OPS,2軍RC27,2軍XR27
09,10,岩本　貴裕,.274,79,327,307,84,14,45,0,18,0,64,0,5,.312,.463,.774,5.09,5.06
09,68,申　成鉉,.200,23,32,30,6,0,0,1,1,1,10,0,0,.250,.233,.483,2.00,2.07
09,2,柴田　講平,.320,76,294,259,83,2,25,9,28,3,39,3,4,.392,.417,.809,6.09,5.81
09,4,上本　博紀,.241,88,292,241,58,0,25,16,30,1,44,20,5,.327,.290,.618,3.37,3.31
09,123,野原　祐也,.305,79,222,190,58,4,25,4,17,9,34,4,4,.385,.426,.812,5.68,5.61
09,125,藤井　宏政,.200,9,15,15,3,0,0,0,0,0,8,0,0,.200,.267,.467,1.32,1.31
09,6,松本　啓二朗,.267,75,342,315,84,1,32,10,18,1,61,4,7,.305,.378,.683,3.54,3.51
09,0,山崎　憲晴,.301,29,122,103,31,0,7,1,12,2,18,4,2,.381,.320,.702,4.48,4.50
09,36,細山田　武史,.394,10,41,33,13,0,3,0,5,1,6,1,0,.475,.485,.960,9.94,9.52
09,94,橋本　到,.238,106,463,403,96,3,28,7,31,8,80,17,6,.303,.345,.648,3.36,3.40
09,55,大田　泰示,.238,101,424,403,96,17,56,16,13,7,123,0,7,.274,.404,.678,3.78,3.86
09,56,仲澤　広基,.319,42,106,94,30,1,7,1,6,0,15,5,3,.356,.394,.750,4.62,4.49
09,105,山本　和作,.212,31,69,66,14,0,10,0,1,0,8,0,1,.217,.318,.536,2.04,2.21
09,101,福元　淳史,.143,19,15,14,2,0,1,0,0,0,5,1,0,.143,.214,.357,-0.46,-0.35
09,30,野本　圭,.276,45,181,145,40,1,16,4,27,6,21,2,0,.408,.352,.760,6.17,6.09
09,37,岩崎　恭平,.288,46,82,66,19,0,4,0,8,0,10,6,1,.355,.364,.719,3.62,3.80
09,201,加藤　聡,.080,21,29,25,2,0,0,0,3,1,14,0,1,.207,.080,.287,-0.55,-0.21
